GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
ribonucleotide biosynthetic process 	77 	37 	9.07 	4.08 	+ 	1.34E-10 	1.43E-08
purine-containing compound biosynthetic process 	77 	37 	9.07 	4.08 	+ 	1.34E-10 	1.40E-08
pyruvate metabolic process 	38 	27 	4.48 	6.03 	+ 	7.56E-11 	8.19E-09
ribose phosphate biosynthetic process 	83 	39 	9.78 	3.99 	+ 	7.09E-11 	7.84E-09
organophosphate metabolic process 	370 	96 	43.59 	2.20 	+ 	2.44E-11 	2.75E-09
purine nucleotide biosynthetic process 	71 	37 	8.37 	4.42 	+ 	2.22E-11 	2.57E-09
ribosome biogenesis 	394 	101 	46.42 	2.18 	+ 	1.57E-11 	1.85E-09
cellular nitrogen compound metabolic process 	1883 	313 	221.86 	1.41 	+ 	1.40E-11 	1.69E-09
cellular amino acid biosynthetic process 	129 	51 	15.20 	3.36 	+ 	1.35E-11 	1.67E-09
alpha-amino acid metabolic process 	179 	62 	21.09 	2.94 	+ 	9.29E-12 	1.17E-09
ribonucleoprotein complex biogenesis 	478 	116 	56.32 	2.06 	+ 	8.74E-12 	1.13E-09
nucleotide biosynthetic process 	126 	51 	14.85 	3.44 	+ 	6.72E-12 	8.92E-10
nucleoside phosphate biosynthetic process 	129 	52 	15.20 	3.42 	+ 	4.68E-12 	6.38E-10
ATP metabolic process 	93 	45 	10.96 	4.11 	+ 	1.06E-12 	1.48E-10
nitrogen compound metabolic process 	2840 	437 	334.62 	1.31 	+ 	3.88E-13 	5.57E-11
carbohydrate derivative metabolic process 	334 	96 	39.35 	2.44 	+ 	2.24E-13 	3.30E-11
organic acid biosynthetic process 	192 	69 	22.62 	3.05 	+ 	1.14E-13 	1.78E-11
generation of precursor metabolites and energy 	211 	73 	24.86 	2.94 	+ 	1.09E-13 	1.75E-11
carboxylic acid biosynthetic process 	192 	69 	22.62 	3.05 	+ 	1.14E-13 	1.73E-11
cytoplasmic translation 	171 	65 	20.15 	3.23 	+ 	7.70E-14 	1.28E-11
cellular nitrogen compound biosynthetic process 	940 	203 	110.75 	1.83 	+ 	2.70E-16 	4.63E-14
nucleoside phosphate metabolic process 	189 	75 	22.27 	3.37 	+ 	1.20E-16 	2.13E-14
purine-containing compound metabolic process 	129 	62 	15.20 	4.08 	+ 	5.61E-17 	1.03E-14
purine ribonucleotide metabolic process 	104 	56 	12.25 	4.57 	+ 	4.22E-17 	8.01E-15
ribonucleotide metabolic process 	118 	60 	13.90 	4.32 	+ 	2.40E-17 	4.90E-15
nucleotide metabolic process 	182 	75 	21.44 	3.50 	+ 	2.28E-17 	4.83E-15
translation 	365 	112 	43.01 	2.60 	+ 	2.41E-17 	4.74E-15
peptide metabolic process 	402 	119 	47.36 	2.51 	+ 	2.01E-17 	4.44E-15
ribose phosphate metabolic process 	125 	62 	14.73 	4.21 	+ 	1.73E-17 	4.17E-15
peptide biosynthetic process 	369 	113 	43.48 	2.60 	+ 	1.74E-17 	4.02E-15
nucleobase-containing small molecule metabolic process 	219 	84 	25.80 	3.26 	+ 	7.72E-18 	1.95E-15
purine nucleotide metabolic process 	113 	60 	13.31 	4.51 	+ 	4.97E-18 	1.32E-15
amide biosynthetic process 	418 	127 	49.25 	2.58 	+ 	1.91E-19 	5.33E-17
organonitrogen compound metabolic process 	1901 	347 	223.98 	1.55 	+ 	1.64E-19 	4.84E-17
cellular amino acid metabolic process 	242 	94 	28.51 	3.30 	+ 	3.29E-20 	1.03E-17
cellular amide metabolic process 	487 	143 	57.38 	2.49 	+ 	1.00E-20 	3.55E-18
primary metabolic process 	3048 	489 	359.12 	1.36 	+ 	1.04E-20 	3.45E-18
organic substance metabolic process 	3236 	512 	381.27 	1.34 	+ 	2.00E-21 	7.58E-19
small molecule biosynthetic process 	331 	115 	39.00 	2.95 	+ 	1.84E-21 	7.51E-19
oxidation-reduction process 	451 	139 	53.14 	2.62 	+ 	9.17E-22 	4.06E-19
cellular process 	4643 	651 	547.05 	1.19 	+ 	9.97E-23 	4.81E-20
cellular metabolic process 	3304 	527 	389.29 	1.35 	+ 	5.10E-24 	2.71E-21
metabolic process 	3508 	554 	413.32 	1.34 	+ 	5.80E-26 	3.42E-23
cellular biosynthetic process 	1480 	312 	174.38 	1.79 	+ 	4.40E-26 	2.92E-23
organonitrogen compound biosynthetic process 	868 	228 	102.27 	2.23 	+ 	9.53E-29 	7.23E-26
organic acid metabolic process 	415 	150 	48.90 	3.07 	+ 	8.63E-30 	9.17E-27
carboxylic acid metabolic process 	395 	146 	46.54 	3.14 	+ 	8.65E-30 	7.66E-27
oxoacid metabolic process 	413 	150 	48.66 	3.08 	+ 	5.62E-30 	7.46E-27
biosynthetic process 	1543 	333 	181.80 	1.83 	+ 	2.04E-30 	3.61E-27
organic substance biosynthetic process 	1508 	331 	177.68 	1.86 	+ 	2.46E-31 	6.54E-28
small molecule metabolic process 	710 	220 	83.65 	2.63 	+ 	1.65E-36 	8.75E-33
